Tool;Scenario;Model;RunIndex;Iteration;PhaseName;MetricName;MetricValue
Reference;scale_samples;1;0;0;Initialization;Time;379055200
Reference;scale_samples;1;0;0;Initialization;Memory;76152832
Reference;scale_samples;1;0;0;Load;Time;39510600
Reference;scale_samples;1;0;0;Load;Memory;76677120
Reference;scale_samples;1;0;0;Initial;Time;64212800
Reference;scale_samples;1;0;0;Initial;Memory;77332480
Reference;scale_samples;1;0;1;Update;Time;5933800
Reference;scale_samples;1;0;1;Update;Memory;78118912
Reference;scale_samples;1;0;2;Update;Time;802200
Reference;scale_samples;1;0;2;Update;Memory;78249984
Reference;scale_samples;1;0;3;Update;Time;565000
Reference;scale_samples;1;0;3;Update;Memory;78381056
Reference;scale_samples;1;0;4;Update;Time;155200
Reference;scale_samples;1;0;4;Update;Memory;78512128
Reference;scale_samples;1;0;5;Update;Time;63100
Reference;scale_samples;1;0;5;Update;Memory;78512128
Reference;scale_samples;1;0;6;Update;Time;64500
Reference;scale_samples;1;0;6;Update;Memory;78643200
Reference;scale_samples;1;0;7;Update;Time;59100
Reference;scale_samples;1;0;7;Update;Memory;78774272
Reference;scale_samples;1;0;8;Update;Time;41200
Reference;scale_samples;1;0;8;Update;Memory;78905344
Reference;scale_samples;2;0;0;Initialization;Time;401005900
Reference;scale_samples;2;0;0;Initialization;Memory;76152832
Reference;scale_samples;2;0;0;Load;Time;50426800
Reference;scale_samples;2;0;0;Load;Memory;76677120
Reference;scale_samples;2;0;0;Initial;Time;62719800
Reference;scale_samples;2;0;0;Initial;Memory;77594624
Reference;scale_samples;2;0;1;Update;Time;5963100
Reference;scale_samples;2;0;1;Update;Memory;78512128
Reference;scale_samples;2;0;2;Update;Time;971700
Reference;scale_samples;2;0;2;Update;Memory;78643200
Reference;scale_samples;2;0;3;Update;Time;563000
Reference;scale_samples;2;0;3;Update;Memory;78774272
Reference;scale_samples;2;0;4;Update;Time;62300
Reference;scale_samples;2;0;4;Update;Memory;78905344
Reference;scale_samples;2;0;5;Update;Time;93200
Reference;scale_samples;2;0;5;Update;Memory;79036416
Reference;scale_samples;2;0;6;Update;Time;79900
Reference;scale_samples;2;0;6;Update;Memory;79167488
Reference;scale_samples;2;0;7;Update;Time;61200
Reference;scale_samples;2;0;7;Update;Memory;79298560
Reference;scale_samples;2;0;8;Update;Time;93500
Reference;scale_samples;2;0;8;Update;Memory;79429632
Reference;scale_samples;4;0;0;Initialization;Time;388143400
Reference;scale_samples;4;0;0;Initialization;Memory;76152832
Reference;scale_samples;4;0;0;Load;Time;41001300
Reference;scale_samples;4;0;0;Load;Memory;76677120
Reference;scale_samples;4;0;0;Initial;Time;71843800
Reference;scale_samples;4;0;0;Initial;Memory;77725696
Reference;scale_samples;4;0;1;Update;Time;7535300
